Statute,State,Universal Citation,Section #,Statute Language,Complete Statute,Contributing Factor,Source URL,Source Type,Authority Level,Jurisdiction,Code,Base Section,Canonical Citation,Relevance Tier,Topic / Working Title,Contributing Factor Hint,Injury Relevance Reason,Row Granularity,Suggested DB Table,Suggested Primary Key,Notes
Cal. Veh. Code § 21454,California,Cal. Veh. Code,21454,Official statutory language for Cal. Veh. Code § 21454 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 21454 — Lane-use control signals. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21454,traffic signal / lane control,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21454,official_state_code_section,official,CA,Vehicle Code,21454,Cal. Veh. Code § 21454,common_crash_causation,Lane-use control signals,traffic signal / lane control,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21454,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 21455,California,Cal. Veh. Code,21455,Official statutory language for Cal. Veh. Code § 21455 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 21455 — Flashing signals. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21455,traffic signal,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21455,official_state_code_section,official,CA,Vehicle Code,21455,Cal. Veh. Code § 21455,common_crash_causation,Flashing signals,traffic signal,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21455,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 21457,California,Cal. Veh. Code,21457,"“[w]henever an illuminated flashing red [stop signal] light is used in a traffic signal or with a traffic sign, it shall require obedience by drivers as follows: … [w]]hen a red lens is illuminated with rapid intermittent flashes, a driver shall stop at a clearly marked limit line, but if none, before entering the crosswalk on the near side of the intersection, or if none, then at the point nearest the intersecting roadway where the driver has a view of approaching traffic on the intersecting roadway before entering it, and the driver may proceed subject to the rules applicable after making a stop at a stop sign….”","Pursuant to Cal. Veh. Code § 21457(a), “[w]henever an illuminated flashing red [stop signal] light is used in a traffic signal or with a traffic sign, it shall require obedience by drivers as follows: … [w]]hen a red lens is illuminated with rapid intermittent flashes, a driver shall stop at a clearly marked limit line, but if none, before entering the crosswalk on the near side of the intersection, or if none, then at the point nearest the intersecting roadway where the driver has a view of approaching traffic on the intersecting roadway before entering it, and the driver may proceed subject to the rules applicable after making a stop at a stop sign….”",Improper Turning,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21457,official_state_code_section,official,CA,Vehicle Code,21457,Cal. Veh. Code § 21457,common_crash_causation,Flashing red/yellow signal duties,improper turning / traffic signal,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21457,
Cal. Veh. Code § 21460,California,Cal. Veh. Code,21460,"“[i]f double parallel solid yellow lines are in place, a person driving a vehicle shall not drive to the left of the lines, except as permitted in this section.”","Pursuant to Cal. Veh. Code § 21460(a), “[i]f double parallel solid yellow lines are in place, a person driving a vehicle shall not drive to the left of the lines, except as permitted in this section.”",Failure to Maintain Lane,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21460,official_state_code_section,official,CA,Vehicle Code,21460,Cal. Veh. Code § 21460,common_crash_causation,Double lines / passing restrictions,failure to maintain lane,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21460,
Cal. Veh. Code § 21461,California,Cal. Veh. Code,21461,Official statutory language for Cal. Veh. Code § 21461 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 21461 — Obedience to traffic-control devices. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21461,failure to obey traffic control device,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21461,official_state_code_section,official,CA,Vehicle Code,21461,Cal. Veh. Code § 21461,common_crash_causation,Obedience to traffic-control devices,failure to obey traffic control device,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21461,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 21461.5,California,Cal. Veh. Code,21461.5,Official statutory language for Cal. Veh. Code § 21461.5 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 21461.5 — Traffic-control device violation by pedestrian/bicycle. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21461.5,failure to obey traffic control device,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21461.5,official_state_code_section,official,CA,Vehicle Code,21461.5,Cal. Veh. Code § 21461.5,common_crash_causation,Traffic-control device violation by pedestrian/bicycle,failure to obey traffic control device,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21461.5,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 21462,California,Cal. Veh. Code,21462,Official statutory language for Cal. Veh. Code § 21462 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 21462 — Traffic-control signal legends. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21462,failure to obey traffic control device,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21462,official_state_code_section,official,CA,Vehicle Code,21462,Cal. Veh. Code § 21462,common_crash_causation,Traffic-control signal legends,failure to obey traffic control device,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21462,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 21650,California,Cal. Veh. Code,21650,Official statutory language for Cal. Veh. Code § 21650 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 21650 — Driving on right half of roadway. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21650,improper lane of travel,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21650,official_state_code_section,official,CA,Vehicle Code,21650,Cal. Veh. Code § 21650,common_crash_causation,Driving on right half of roadway,improper lane of travel,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21650,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 21651,California,Cal. Veh. Code,21651,Official statutory language for Cal. Veh. Code § 21651 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 21651 — Divided highways. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21651,improper lane of travel,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21651,official_state_code_section,official,CA,Vehicle Code,21651,Cal. Veh. Code § 21651,common_crash_causation,Divided highways,improper lane of travel,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21651,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 21658,California,Cal. Veh. Code,21658,"“[w]henever any roadway has been divided into two or more clearly marked lanes for traffic in one direction, …[a] vehicle shall be driven as nearly as practical entirely within a single lane and shall not be moved from the lane until such movement can be made with reasonable safety.”","Pursuant to Cal. Veh. Code § 21658(a), “[w]henever any roadway has been divided into two or more clearly marked lanes for traffic in one direction, …[a] vehicle shall be driven as nearly as practical entirely within a single lane and shall not be moved from the lane until such movement can be made with reasonable safety.”",Failure to Maintain Lane,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21658,official_state_code_section,official,CA,Vehicle Code,21658,Cal. Veh. Code § 21658,common_crash_causation,Laned roadways,failure to maintain lane,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21658,
Cal. Veh. Code § 21659,California,Cal. Veh. Code,21659,"“[u]pon a roadway [other than a one-way roadway] which is divided into three lanes a vehicle shall not be driven in the extreme left lane at any time, nor in the center lane except when overtaking and passing another vehicle where the roadway ahead is clearly visible and the center lane is clear of traffic within a safe distance, or in preparation for a left turn, or where the center lane is at the time allocated exclusively to traffic moving in the direction the vehicle is proceeding and is signposted to give notice of such allocation.”","Pursuant to Cal. Veh. Code § 21659, “[u]pon a roadway [other than a one-way roadway] which is divided into three lanes a vehicle shall not be driven in the extreme left lane at any time, nor in the center lane except when overtaking and passing another vehicle where the roadway ahead is clearly visible and the center lane is clear of traffic within a safe distance, or in preparation for a left turn, or where the center lane is at the time allocated exclusively to traffic moving in the direction the vehicle is proceeding and is signposted to give notice of such allocation.”",Improper Lane of Travel,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21659,official_state_code_section,official,CA,Vehicle Code,21659,Cal. Veh. Code § 21659,common_crash_causation,Three-lane highways,improper lane of travel,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21659,
Cal. Veh. Code § 21660,California,Cal. Veh. Code,21660,"“[d]rivers of vehicles proceeding in opposite directions shall pass each other to the right, and, except when a roadway has been divided into traffic lanes, each driver shall give to the other at least one-half of the main traveled portion of the roadway whenever possible.”","Pursuant to Cal. Veh. Code § 21660, “[d]rivers of vehicles proceeding in opposite directions shall pass each other to the right, and, except when a roadway has been divided into traffic lanes, each driver shall give to the other at least one-half of the main traveled portion of the roadway whenever possible.”",Improper Passing,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21660,official_state_code_section,official,CA,Vehicle Code,21660,Cal. Veh. Code § 21660,common_crash_causation,Driving left of center on grades/curves,improper passing,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21660,
Cal. Veh. Code § 21703,California,Cal. Veh. Code,21703,"“[t]he driver of a motor vehicle shall not follow another vehicle more closely than is reasonable and prudent, having due regard for the speed of such vehicle and the traffic upon, and the condition of, the roadway.”","Pursuant to Cal. Veh. Code § 21703, “[t]he driver of a motor vehicle shall not follow another vehicle more closely than is reasonable and prudent, having due regard for the speed of such vehicle and the traffic upon, and the condition of, the roadway.”",Following Too Closely,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21703,official_state_code_section,official,CA,Vehicle Code,21703,Cal. Veh. Code § 21703,common_crash_causation,Following too closely,following too closely,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21703,
Cal. Veh. Code § 21750,California,Cal. Veh. Code,21750,“[t]he driver of a vehicle overtaking another vehicle proceeding in the same direction shall pass to the left at a safe distance without interfering with the safe operation of the overtaken vehicle….”,"Pursuant to Cal. Veh. Code § 21750(a), “[t]he driver of a vehicle overtaking another vehicle proceeding in the same direction shall pass to the left at a safe distance without interfering with the safe operation of the overtaken vehicle….”",Improper Passing,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21750,official_state_code_section,official,CA,Vehicle Code,21750,Cal. Veh. Code § 21750,common_crash_causation,Passing to the left,improper passing,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21750,
Cal. Veh. Code § 21751,California,Cal. Veh. Code,21751,"“[o]n a two-lane highway, no vehicle shall be driven to the left side of the center of the roadway in overtaking and passing another vehicle proceeding in the same direction unless the left side is clearly visible and free of oncoming traffic for a sufficient distance ahead to permit such overtaking and passing to be completely made without interfering with the safe operation of any vehicle approaching from the opposite direction.”","Pursuant to Cal. Veh. Code § 21751, “[o]n a two-lane highway, no vehicle shall be driven to the left side of the center of the roadway in overtaking and passing another vehicle proceeding in the same direction unless the left side is clearly visible and free of oncoming traffic for a sufficient distance ahead to permit such overtaking and passing to be completely made without interfering with the safe operation of any vehicle approaching from the opposite direction.”",Improper Passing,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21751,official_state_code_section,official,CA,Vehicle Code,21751,Cal. Veh. Code § 21751,common_crash_causation,Passing without sufficient clearance,improper passing,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21751,
Cal. Veh. Code § 21752,California,Cal. Veh. Code,21752,"“[n]o vehicle shall be driven to the left side of the roadway under the following conditions: (a) [w]hen approaching or upon the crest of a grade or a curve in the highway where the driver’s view is obstructed within such distance as to create a hazard in the event another vehicle might approach from the opposite direction[;] (b) [w]hen the view is obstructed upon approaching within 100 feet of any bridge, viaduct, or tunnel[;] (c) [w]hen approaching within 100 feet of or when traversing any railroad grade crossing[; and/or] (d) [w]hen approaching within 100 feet of or when traversing any intersection.”","Pursuant to Cal. Veh. Code § 21752, “[n]o vehicle shall be driven to the left side of the roadway under the following conditions: (a) [w]hen approaching or upon the crest of a grade or a curve in the highway where the driver’s view is obstructed within such distance as to create a hazard in the event another vehicle might approach from the opposite direction[;] (b) [w]hen the view is obstructed upon approaching within 100 feet of any bridge, viaduct, or tunnel[;] (c) [w]hen approaching within 100 feet of or when traversing any railroad grade crossing[; and/or] (d) [w]hen approaching within 100 feet of or when traversing any intersection.”",Improper Lane of Travel,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21752,official_state_code_section,official,CA,Vehicle Code,21752,Cal. Veh. Code § 21752,common_crash_causation,No-passing zones/situations,improper lane of travel / improper passing,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21752,
Cal. Veh. Code § 21753,California,Cal. Veh. Code,21753,"“[e]xcept when passing on the right is permitted, the driver of an overtaken vehicle shall safely move to the right-hand side of the highway in favor of the overtaking vehicle after an audible signal or a momentary flash of headlights by the overtaking vehicle, and shall not increase the speed of his or her vehicle until completely passed by the overtaking vehicle. This section does not require the driver of an overtaken vehicle to drive on the shoulder of the highway in order to allow the overtaking vehicle to pass.”","Pursuant to Cal. Veh. Code § 21753, “[e]xcept when passing on the right is permitted, the driver of an overtaken vehicle shall safely move to the right-hand side of the highway in favor of the overtaking vehicle after an audible signal or a momentary flash of headlights by the overtaking vehicle, and shall not increase the speed of his or her vehicle until completely passed by the overtaking vehicle. This section does not require the driver of an overtaken vehicle to drive on the shoulder of the highway in order to allow the overtaking vehicle to pass.”",Improper Passing,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21753,official_state_code_section,official,CA,Vehicle Code,21753,Cal. Veh. Code § 21753,common_crash_causation,Driver being overtaken must yield,improper passing,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21753,
Cal. Veh. Code § 21754,California,Cal. Veh. Code,21754,“[t]he driver of a vehicle may overtake and pass to the right of another vehicle only under the following conditions: (a) [w]hen the vehicle overtaken is making or about to make a left turn[;] (b) [u]pon a highway within a business or residence district with unobstructed pavement of sufficient width for two or more lines of moving vehicles in the direction of travel[;] (c) [u]pon any highway outside of a business or residence district with unobstructed pavement of sufficient width and clearly marked for two or more lines of moving traffic in the direction of travel[;] (d) [u]pon a one-way street[; and/or] (e) [u]pon a highway divided into two roadways where traffic is restricted to one direction upon each of such roadways.”,"Pursuant to Cal. Veh. Code § 21754, “[t]he driver of a vehicle may overtake and pass to the right of another vehicle only under the following conditions: (a) [w]hen the vehicle overtaken is making or about to make a left turn[;] (b) [u]pon a highway within a business or residence district with unobstructed pavement of sufficient width for two or more lines of moving vehicles in the direction of travel[;] (c) [u]pon any highway outside of a business or residence district with unobstructed pavement of sufficient width and clearly marked for two or more lines of moving traffic in the direction of travel[;] (d) [u]pon a one-way street[; and/or] (e) [u]pon a highway divided into two roadways where traffic is restricted to one direction upon each of such roadways.”",Improper Passing,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21754,official_state_code_section,official,CA,Vehicle Code,21754,Cal. Veh. Code § 21754,common_crash_causation,Passing on the right,improper passing,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21754,
Cal. Veh. Code § 21755,California,Cal. Veh. Code,21755,“[t]he driver of a vehicle may overtake and pass another vehicle upon the right only under conditions permitting that movement in safety.”,"Pursuant to Cal. Veh. Code § 21755(a), “[t]he driver of a vehicle may overtake and pass another vehicle upon the right only under conditions permitting that movement in safety.”",Improper Passing,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21755,official_state_code_section,official,CA,Vehicle Code,21755,Cal. Veh. Code § 21755,common_crash_causation,Unsafe passing on right,improper passing,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21755,
Cal. Veh. Code § 21800,California,Cal. Veh. Code,21800,“[t]he driver of a vehicle approaching an intersection shall yield the right-of-way to any vehicle which has entered the intersection from a different highway.”,"Pursuant to Cal. Veh. Code § 21800(a), “[t]he driver of a vehicle approaching an intersection shall yield the right-of-way to any vehicle which has entered the intersection from a different highway.”",Failure to Yield the Right-of-Way,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21800,official_state_code_section,official,CA,Vehicle Code,21800,Cal. Veh. Code § 21800,common_crash_causation,Intersection right-of-way,failure to yield,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21800,
Cal. Veh. Code § 21801,California,Cal. Veh. Code,21801,"“[t]he driver of a vehicle intending to turn to the left or to complete a U-turn upon a highway, or to turn left into public or private property, or an alley, shall yield the right-of-way to all vehicles approaching from the opposite direction which are close enough to constitute a hazard at any time during the turning movement, and shall continue to yield the right-of-way to the approaching vehicles until the left turn or U-turn can be made with reasonable safety.”","Pursuant to Cal. Veh. Code § 21801(a), “[t]he driver of a vehicle intending to turn to the left or to complete a U-turn upon a highway, or to turn left into public or private property, or an alley, shall yield the right-of-way to all vehicles approaching from the opposite direction which are close enough to constitute a hazard at any time during the turning movement, and shall continue to yield the right-of-way to the approaching vehicles until the left turn or U-turn can be made with reasonable safety.”",Failure to Yield the Right-of-Way,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21801,official_state_code_section,official,CA,Vehicle Code,21801,Cal. Veh. Code § 21801,common_crash_causation,Left turn / U-turn yield to oncoming traffic,failure to yield,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21801,
Cal. Veh. Code § 21802,California,Cal. Veh. Code,21802,"“[t]he driver of any vehicle approaching a stop sign at the entrance to, or within, an intersection shall stop as required by Section 22450. The driver shall then yield the right-of-way to any vehicles which have approached from another highway, or which are approaching so closely as to constitute an immediate hazard, and shall continue to yield the right-of-way to those vehicles until he or she can proceed with reasonable safety. [After] having yielded, [the driver] may proceed to enter the intersection, and the drivers of all other approaching vehicles shall yield the right-of-way to the vehicle entering or crossing the intersection.”","Pursuant to Cal. Veh. Code § 21802(a)-(b), “[t]he driver of any vehicle approaching a stop sign at the entrance to, or within, an intersection shall stop as required by Section 22450. The driver shall then yield the right-of-way to any vehicles which have approached from another highway, or which are approaching so closely as to constitute an immediate hazard, and shall continue to yield the right-of-way to those vehicles until he or she can proceed with reasonable safety. [After] having yielded, [the driver] may proceed to enter the intersection, and the drivers of all other approaching vehicles shall yield the right-of-way to the vehicle entering or crossing the intersection.”",Failure to Yield the Right-of-Way,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21802,official_state_code_section,official,CA,Vehicle Code,21802,Cal. Veh. Code § 21802,common_crash_causation,Stop sign right-of-way,failure to yield,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21802,
Cal. Veh. Code § 21803,California,Cal. Veh. Code,21803,"“[t]he driver of any vehicle approaching any intersection which is controlled by a yield right-of-way sign shall, upon arriving at the sign, yield the right-of-way to any vehicles which have entered the intersection, or which are approaching on the intersecting highway close enough to constitute an immediate hazard, and shall continue to yield the right-of-way to those vehicles until he or she can proceed with reasonable safety. [After] having yielded [the driver] may proceed to enter the intersection, and the drivers of all other approaching vehicles shall yield the right-of-way to the vehicle entering or crossing the intersection.”","Pursuant to Cal. Veh. Code § 21803(a)-(b), “[t]he driver of any vehicle approaching any intersection which is controlled by a yield right-of-way sign shall, upon arriving at the sign, yield the right-of-way to any vehicles which have entered the intersection, or which are approaching on the intersecting highway close enough to constitute an immediate hazard, and shall continue to yield the right-of-way to those vehicles until he or she can proceed with reasonable safety. [After] having yielded [the driver] may proceed to enter the intersection, and the drivers of all other approaching vehicles shall yield the right-of-way to the vehicle entering or crossing the intersection.”",Failure to Yield at a Yield Sign,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21803,official_state_code_section,official,CA,Vehicle Code,21803,Cal. Veh. Code § 21803,common_crash_causation,Yield sign right-of-way,failure to yield at yield sign,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21803,
Cal. Veh. Code § 21804,California,Cal. Veh. Code,21804,"“[t]he driver of any vehicle about to enter or cross a highway from any public or private property, or from an alley, shall yield the right-of-way to all traffic, as defined in Section 620, approaching on the highway close enough to constitute an immediate hazard, and shall continue to yield the right-of-way to that traffic until he or she can proceed with reasonable safety. [After] having yielded [the driver] may proceed to enter or cross the highway, and the drivers of all other vehicles approaching on the highway shall yield the right-of-way to the vehicle entering or crossing the intersection.”","Pursuant to Cal. Veh. Code § 21804(a)-(b), “[t]he driver of any vehicle about to enter or cross a highway from any public or private property, or from an alley, shall yield the right-of-way to all traffic, as defined in Section 620, approaching on the highway close enough to constitute an immediate hazard, and shall continue to yield the right-of-way to that traffic until he or she can proceed with reasonable safety. [After] having yielded [the driver] may proceed to enter or cross the highway, and the drivers of all other vehicles approaching on the highway shall yield the right-of-way to the vehicle entering or crossing the intersection.”",Failure to Yield the Right-of-Way,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21804,official_state_code_section,official,CA,Vehicle Code,21804,Cal. Veh. Code § 21804,common_crash_causation,Entering highway from private road/driveway,failure to yield,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21804,
Cal. Veh. Code § 21806,California,Cal. Veh. Code,21806,Official statutory language for Cal. Veh. Code § 21806 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 21806 — Yield to emergency vehicles. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21806,failure to yield,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21806,official_state_code_section,official,CA,Vehicle Code,21806,Cal. Veh. Code § 21806,common_crash_causation,Yield to emergency vehicles,failure to yield,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21806,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 21950,California,Cal. Veh. Code,21950,“[t]he driver of a vehicle shall yield the right-of-way to a pedestrian crossing the roadway within any marked crosswalk or within any unmarked crosswalk at an intersection…. The driver of a vehicle approaching a pedestrian within any marked or unmarked crosswalk shall exercise all due care and shall reduce the speed of the vehicle or take any other action relating to the operation of the vehicle as necessary to safeguard the safety of the pedestrian.”,"Pursuant to Cal. Veh. Code § 21950(a)&(c), “[t]he driver of a vehicle shall yield the right-of-way to a pedestrian crossing the roadway within any marked crosswalk or within any unmarked crosswalk at an intersection…. The driver of a vehicle approaching a pedestrian within any marked or unmarked crosswalk shall exercise all due care and shall reduce the speed of the vehicle or take any other action relating to the operation of the vehicle as necessary to safeguard the safety of the pedestrian.”",Failure to Yield the Right-of-Way,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21950,official_state_code_section,official,CA,Vehicle Code,21950,Cal. Veh. Code § 21950,common_crash_causation,Pedestrian crosswalk right-of-way,failure to yield / pedestrian,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21950,
Cal. Veh. Code § 21951,California,Cal. Veh. Code,21951,Official statutory language for Cal. Veh. Code § 21951 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 21951 — Vehicle stopped for pedestrian; passing prohibited. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21951,pedestrian / failure to yield,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21951,official_state_code_section,official,CA,Vehicle Code,21951,Cal. Veh. Code § 21951,common_crash_causation,Vehicle stopped for pedestrian; passing prohibited,pedestrian / failure to yield,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21951,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 21952,California,Cal. Veh. Code,21952,Official statutory language for Cal. Veh. Code § 21952 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 21952 — Sidewalk crossing yield duties. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21952,pedestrian / failure to yield,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21952,official_state_code_section,official,CA,Vehicle Code,21952,Cal. Veh. Code § 21952,common_crash_causation,Sidewalk crossing yield duties,pedestrian / failure to yield,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21952,Full statute text should be fetched from official source during ingestion.
Cal. Veh. Code § 21954,California,Cal. Veh. Code,21954,Official statutory language for Cal. Veh. Code § 21954 should be pulled from the California Legislative Information source URL in this row.,Cal. Veh. Code § 21954 — Pedestrian outside crosswalk. Official current full text source: https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21954,pedestrian,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21954,official_state_code_section,official,CA,Vehicle Code,21954,Cal. Veh. Code § 21954,common_crash_causation,Pedestrian outside crosswalk,pedestrian,"Commonly relevant to motor-vehicle injury cases because it defines unsafe conduct, crash causation, or injury-enhancing conduct.",base_section,statutes,CA|VEH|21954,Full statute text should be fetched from official source during ingestion.
